date,hour,region,stock_now,stock_next,stay,inflow,outflow,exit,entry,reconstructed_next,difference,passed
2018-01-07,9,core,17,16,15,1,2,0,0,16,0,True
2018-01-07,9,near,22,23,21,2,1,0,0,23,0,True
2018-01-07,9,outer,7,7,7,0,0,0,0,7,0,True
2018-01-07,10,core,16,16,16,0,0,0,0,16,0,True
2018-01-07,10,near,23,24,23,1,0,0,0,24,0,True
2018-01-07,10,outer,7,7,6,0,1,0,1,7,0,True
2018-01-07,11,core,16,14,14,0,2,0,0,14,0,True
2018-01-07,11,near,24,26,24,2,0,0,0,26,0,True
2018-01-07,11,outer,7,8,7,0,0,0,1,8,0,True
2018-01-07,12,core,14,12,10,1,4,0,1,12,0,True
2018-01-07,12,near,26,27,23,4,2,1,0,27,0,True
2018-01-07,12,outer,8,9,7,2,1,0,0,9,0,True
2018-01-07,13,core,12,15,11,4,1,0,0,15,0,True
2018-01-07,13,near,27,23,22,1,4,1,0,23,0,True
