evaluation_id,region,hour_of_day,n_days,mean_residual,median_residual,residual_std,positive_count,negative_count,zero_count,baseline_sse,plus_one_sse,minus_one_sse,plus_one_delta_sse,minus_one_delta_sse
fold_06,near,13,7,-1.7142857142857142,-4.0,2.984084768360628,2,4,1,74.0,105.0,57.0,31.0,-17.0
fold_06,near,14,7,0.0,-1.0,2.309401076758503,3,4,0,32.0,39.0,39.0,7.0,7.0
fold_06,near,15,7,-2.0,-3.0,3.605551275463989,1,5,1,106.0,141.0,85.0,35.0,-21.0
fold_06,near,16,7,-1.4285714285714286,-2.0,3.2586880211286906,2,5,0,78.0,105.0,65.0,27.0,-13.0
fold_06,near,17,7,0.14285714285714285,-1.0,3.236694374850748,2,4,1,63.0,68.0,72.0,5.0,9.0
fold_06,near,18,7,0.2857142857142857,-1.0,4.270608298368657,2,4,1,110.0,113.0,121.0,3.0,11.0
fold_06,near,19,7,-1.2857142857142858,0.0,3.1997023671109224,1,3,3,73.0,98.0,62.0,25.0,-11.0
fold_06,near,20,7,-1.1428571428571428,-1.0,3.6253078686998625,1,5,1,88.0,111.0,79.0,23.0,-9.0
fold_06,near,21,7,-1.2857142857142858,-2.0,1.889822365046136,1,6,0,33.0,58.0,22.0,25.0,-11.0
fold_06,near,22,7,0.7142857142857143,1.0,2.811540841738193,4,3,0,51.0,48.0,68.0,-3.0,17.0
fold_06,near,23,7,-1.4285714285714286,-1.0,2.63673679998231,2,4,1,56.0,83.0,43.0,27.0,-13.0
fold_06,outer,0,7,-0.2857142857142857,-1.0,1.1126972805283737,1,4,2,8.0,19.0,11.0,11.0,3.0
fold_06,outer,1,7,0.42857142857142855,0.0,1.511857892036909,2,2,3,15.0,16.0,28.0,1.0,13.0
fold_06,outer,2,7,0.14285714285714285,0.0,1.4638501094227998,2,3,2,13.0,18.0,22.0,5.0,9.0
fold_06,outer,3,7,-0.2857142857142857,0.0,0.7559289460184544,1,3,3,4.0,15.0,7.0,11.0,3.0
fold_06,outer,4,7,-0.14285714285714285,0.0,1.2149857925879117,1,2,4,9.0,18.0,14.0,9.0,5.0
fold_06,outer,5,7,0.14285714285714285,0.0,1.3451854182690985,3,2,2,11.0,16.0,20.0,5.0,9.0
fold_06,outer,6,7,0.14285714285714285,0.0,1.0690449676496976,2,2,3,7.0,12.0,16.0,5.0,9.0
fold_06,outer,7,7,-0.5714285714285714,-2.0,2.29906813420444,2,5,0,34.0,49.0,33.0,15.0,-1.0
fold_06,outer,8,7,-0.14285714285714285,-1.0,1.8644544714716087,2,5,0,21.0,30.0,26.0,9.0,5.0
fold_06,outer,9,7,0.0,-1.0,1.9148542155126762,3,4,0,22.0,29.0,29.0,7.0,7.0
fold_06,outer,10,7,-1.1428571428571428,-2.0,1.5735915849388862,1,5,1,24.0,47.0,15.0,23.0,-9.0
fold_06,outer,11,7,-0.42857142857142855,-1.0,1.2724180205607036,1,4,2,11.0,24.0,12.0,13.0,1.0
fold_06,outer,12,7,-2.0,-2.0,1.632993161855452,1,6,0,44.0,79.0,23.0,35.0,-21.0
fold_06,outer,13,7,-2.142857142857143,-2.0,1.7728105208558367,1,6,0,51.0,88.0,28.0,37.0,-23.0
fold_06,outer,14,7,-0.14285714285714285,0.0,1.2149857925879117,3,3,1,9.0,18.0,14.0,9.0,5.0
fold_06,outer,15,7,0.42857142857142855,0.0,2.0701966780270626,3,3,1,27.0,28.0,40.0,1.0,13.0
fold_06,outer,16,7,1.0,1.0,2.886751345948129,4,2,1,57.0,50.0,78.0,-7.0,21.0
fold_06,outer,17,7,-0.2857142857142857,-1.0,1.7043362064926932,2,4,1,18.0,29.0,21.0,11.0,3.0
fold_06,outer,18,7,0.7142857142857143,0.0,1.889822365046136,3,3,1,25.0,22.0,42.0,-3.0,17.0
fold_06,outer,19,7,0.2857142857142857,0.0,0.951189731211342,2,1,4,6.0,9.0,17.0,3.0,11.0
fold_06,outer,20,7,-0.42857142857142855,0.0,0.9759000729485332,1,3,3,7.0,20.0,8.0,13.0,1.0
fold_06,outer,21,7,-0.7142857142857143,-1.0,1.6035674514745462,1,4,2,19.0,36.0,16.0,17.0,-3.0
fold_06,outer,22,7,0.2857142857142857,1.0,0.9511897312113419,4,2,1,6.0,9.0,17.0,3.0,11.0
fold_06,outer,23,7,-0.42857142857142855,-1.0,0.7867957924694431,1,4,2,5.0,18.0,6.0,13.0,1.0
fold_07,core,0,7,-0.42857142857142855,-2.0,3.779644730092272,2,5,0,87.0,100.0,88.0,13.0,1.0
fold_07,core,1,7,-0.2857142857142857,-1.0,1.7043362064926932,2,5,0,18.0,29.0,21.0,11.0,3.0
fold_07,core,2,7,-0.7142857142857143,-2.0,4.535573676110727,3,4,0,127.0,144.0,124.0,17.0,-3.0
fold_07,core,3,7,-2.2857142857142856,-2.0,5.0568200058365305,2,4,1,190.0,229.0,165.0,39.0,-25.0
fold_07,core,4,7,-2.0,-4.0,5.291502622129181,2,5,0,196.0,231.0,175.0,35.0,-21.0
fold_07,core,5,7,-1.8571428571428572,-3.0,1.864454471471609,1,6,0,45.0,78.0,26.0,33.0,-19.0
fold_07,core,6,7,-3.857142857142857,-5.0,4.180453381654971,2,5,0,209.0,270.0,162.0,61.0,-47.0
fold_07,core,7,7,-0.14285714285714285,-1.0,3.0783421635988546,3,4,0,57.0,66.0,62.0,9.0,5.0
fold_07,core,8,7,1.1428571428571428,2.0,3.338091841585121,5,2,0,76.0,67.0,99.0,-9.0,23.0
fold_07,core,9,7,0.0,0.0,2.160246899469287,3,3,1,28.0,35.0,35.0,7.0,7.0
fold_07,core,10,7,-2.142857142857143,-3.0,3.848314411469495,1,5,1,121.0,158.0,98.0,37.0,-23.0
fold_07,core,11,7,-1.8571428571428572,-3.0,4.2594432902501635,2,5,0,133.0,166.0,114.0,33.0,-19.0
fold_07,core,12,7,-2.4285714285714284,-2.0,3.408672412985387,1,6,0,111.0,152.0,84.0,41.0,-27.0
fold_07,core,13,7,0.42857142857142855,-1.0,5.028490259085154,2,5,0,153.0,154.0,166.0,1.0,13.0
fold_07,core,14,7,-0.7142857142857143,0.0,3.6384193323605842,3,3,1,83.0,100.0,80.0,17.0,-3.0
fold_07,core,15,7,-2.5714285714285716,-5.0,6.347102826149446,3,4,0,288.0,331.0,259.0,43.0,-29.0
fold_07,core,16,7,-2.142857142857143,-2.0,4.947341758580103,2,5,0,179.0,216.0,156.0,37.0,-23.0
fold_07,core,17,7,0.5714285714285714,-2.0,4.157609203101499,2,4,1,106.0,105.0,121.0,-1.0,15.0
fold_07,core,18,7,0.0,0.0,2.309401076758503,3,3,1,32.0,39.0,39.0,7.0,7.0
fold_07,core,19,7,-0.2857142857142857,0.0,4.715728494951256,3,2,2,134.0,145.0,137.0,11.0,3.0
fold_07,core,20,7,-0.8571428571428571,-1.0,5.2417736002416655,3,4,0,170.0,189.0,165.0,19.0,-5.0
fold_07,core,21,7,1.0,0.0,3.8297084310253524,3,3,1,95.0,88.0,116.0,-7.0,21.0
fold_07,core,22,7,-0.5714285714285714,-1.0,4.429339411136566,3,4,0,120.0,135.0,119.0,15.0,-1.0
fold_07,core,23,7,-1.1428571428571428,-1.0,3.532165125838609,2,5,0,84.0,107.0,75.0,23.0,-9.0
fold_07,near,0,7,0.0,-1.0,2.943920288775949,2,4,1,52.0,59.0,59.0,7.0,7.0
fold_07,near,1,7,-0.42857142857142855,-1.0,1.1338934190276817,1,5,1,9.0,22.0,10.0,13.0,1.0
fold_07,near,2,7,-0.2857142857142857,0.0,2.138089935299395,1,3,3,28.0,39.0,31.0,11.0,3.0
fold_07,near,3,7,-0.42857142857142855,-2.0,3.101458950082625,3,4,0,59.0,72.0,60.0,13.0,1.0
fold_07,near,4,7,0.0,-1.0,1.8257418583505538,2,4,1,20.0,27.0,27.0,7.0,7.0
fold_07,near,5,7,-1.0,-2.0,1.4142135623730951,2,5,0,19.0,40.0,12.0,21.0,-7.0
fold_07,near,6,7,-0.5714285714285714,-1.0,1.9023794624226837,1,4,2,24.0,39.0,23.0,15.0,-1.0
fold_07,near,7,7,-1.0,-2.0,2.8284271247461903,2,4,1,55.0,76.0,48.0,21.0,-7.0
fold_07,near,8,7,-0.5714285714285714,1.0,2.5071326821120348,4,3,0,40.0,55.0,39.0,15.0,-1.0
fold_07,near,9,7,-0.14285714285714285,0.0,2.2677868380553634,2,3,2,31.0,40.0,36.0,9.0,5.0
fold_07,near,10,7,-1.1428571428571428,-1.0,2.6726124191242437,2,4,1,52.0,75.0,43.0,23.0,-9.0
fold_07,near,11,7,-2.2857142857142856,-3.0,4.0708019567928595,1,5,1,136.0,175.0,111.0,39.0,-25.0
fold_07,near,12,7,0.14285714285714285,-1.0,3.6253078686998625,3,4,0,79.0,84.0,88.0,5.0,9.0
