date_i,date_j,U_i,U_j,dU,H_i,H_j,dH,c_i,c_j,dc
2018-01-06,2018-01-10,61,54,7,304.0,263.0,41.0,4.983606557377049,4.87037037037037,0.11323618700667915
2018-01-06,2018-01-11,61,54,7,304.0,264.0,40.0,4.983606557377049,4.888888888888889,0.0947176684881601
2018-01-06,2018-01-19,61,52,9,304.0,247.0,57.0,4.983606557377049,4.75,0.23360655737704938
2018-01-06,2018-01-20,61,55,6,304.0,400.0,-96.0,4.983606557377049,7.2727272727272725,-2.289120715350223
2018-01-06,2018-01-21,61,54,7,304.0,407.0,-103.0,4.983606557377049,7.537037037037037,-2.553430479659988
2018-01-06,2018-01-22,61,52,9,304.0,261.0,43.0,4.983606557377049,5.019230769230769,-0.03562421185371978
2018-01-06,2018-01-23,61,48,13,304.0,325.0,-21.0,4.983606557377049,6.770833333333333,-1.7872267759562837
2018-01-06,2018-01-24,61,48,13,304.0,366.0,-62.0,4.983606557377049,7.625,-2.6413934426229506
2018-01-07,2018-01-08,60,56,4,363.0,302.0,61.0,6.05,5.392857142857143,0.6571428571428566
2018-01-07,2018-01-09,60,54,6,363.0,296.0,67.0,6.05,5.481481481481482,0.568518518518518
2018-01-07,2018-01-10,60,54,6,363.0,263.0,100.0,6.05,4.87037037037037,1.1796296296296296
2018-01-07,2018-01-11,60,54,6,363.0,264.0,99.0,6.05,4.888888888888889,1.1611111111111105
2018-01-07,2018-01-19,60,52,8,363.0,247.0,116.0,6.05,4.75,1.2999999999999998
2018-01-07,2018-01-20,60,55,5,363.0,400.0,-37.0,6.05,7.2727272727272725,-1.2227272727272727
2018-01-07,2018-01-21,60,54,6,363.0,407.0,-44.0,6.05,7.537037037037037,-1.4870370370370374
2018-01-07,2018-01-22,60,52,8,363.0,261.0,102.0,6.05,5.019230769230769,1.0307692307692307
2018-01-07,2018-01-23,60,48,12,363.0,325.0,38.0,6.05,6.770833333333333,-0.7208333333333332
2018-01-07,2018-01-24,60,48,12,363.0,366.0,-3.0,6.05,7.625,-1.5750000000000002
2018-01-08,2018-01-09,56,54,2,302.0,296.0,6.0,5.392857142857143,5.481481481481482,-0.0886243386243386
2018-01-08,2018-01-10,56,54,2,302.0,263.0,39.0,5.392857142857143,4.87037037037037,0.522486772486773
2018-01-08,2018-01-11,56,54,2,302.0,264.0,38.0,5.392857142857143,4.888888888888889,0.503968253968254
2018-01-08,2018-01-19,56,52,4,302.0,247.0,55.0,5.392857142857143,4.75,0.6428571428571432
2018-01-08,2018-01-20,56,55,1,302.0,400.0,-98.0,5.392857142857143,7.2727272727272725,-1.8798701298701292
2018-01-08,2018-01-21,56,54,2,302.0,407.0,-105.0,5.392857142857143,7.537037037037037,-2.144179894179894
2018-01-08,2018-01-22,56,52,4,302.0,261.0,41.0,5.392857142857143,5.019230769230769,0.3736263736263741
2018-01-08,2018-01-23,56,48,8,302.0,325.0,-23.0,5.392857142857143,6.770833333333333,-1.3779761904761898
2018-01-08,2018-01-24,56,48,8,302.0,366.0,-64.0,5.392857142857143,7.625,-2.2321428571428568
2018-01-09,2018-01-10,54,54,0,296.0,263.0,33.0,5.481481481481482,4.87037037037037,0.6111111111111116
2018-01-09,2018-01-11,54,54,0,296.0,264.0,32.0,5.481481481481482,4.888888888888889,0.5925925925925926
2018-01-09,2018-01-19,54,52,2,296.0,247.0,49.0,5.481481481481482,4.75,0.7314814814814818
2018-01-09,2018-01-20,54,55,-1,296.0,400.0,-104.0,5.481481481481482,7.2727272727272725,-1.7912457912457906
2018-01-09,2018-01-21,54,54,0,296.0,407.0,-111.0,5.481481481481482,7.537037037037037,-2.0555555555555554
2018-01-09,2018-01-22,54,52,2,296.0,261.0,35.0,5.481481481481482,5.019230769230769,0.4622507122507127
2018-01-09,2018-01-23,54,48,6,296.0,325.0,-29.0,5.481481481481482,6.770833333333333,-1.2893518518518512
2018-01-09,2018-01-24,54,48,6,296.0,366.0,-70.0,5.481481481481482,7.625,-2.143518518518518
2018-01-10,2018-01-11,54,54,0,263.0,264.0,-1.0,4.87037037037037,4.888888888888889,-0.018518518518519045
2018-01-10,2018-01-19,54,52,2,263.0,247.0,16.0,4.87037037037037,4.75,0.12037037037037024
2018-01-10,2018-01-20,54,55,-1,263.0,400.0,-137.0,4.87037037037037,7.2727272727272725,-2.4023569023569022
2018-01-10,2018-01-21,54,54,0,263.0,407.0,-144.0,4.87037037037037,7.537037037037037,-2.666666666666667
2018-01-10,2018-01-22,54,52,2,263.0,261.0,2.0,4.87037037037037,5.019230769230769,-0.14886039886039892
2018-01-10,2018-01-23,54,48,6,263.0,325.0,-62.0,4.87037037037037,6.770833333333333,-1.9004629629629628
2018-01-10,2018-01-24,54,48,6,263.0,366.0,-103.0,4.87037037037037,7.625,-2.7546296296296298
2018-01-11,2018-01-19,54,52,2,264.0,247.0,17.0,4.888888888888889,4.75,0.13888888888888928
2018-01-11,2018-01-20,54,55,-1,264.0,400.0,-136.0,4.888888888888889,7.2727272727272725,-2.383838383838383
2018-01-11,2018-01-21,54,54,0,264.0,407.0,-143.0,4.888888888888889,7.537037037037037,-2.648148148148148
2018-01-11,2018-01-22,54,52,2,264.0,261.0,3.0,4.888888888888889,5.019230769230769,-0.13034188034187988
2018-01-11,2018-01-23,54,48,6,264.0,325.0,-61.0,4.888888888888889,6.770833333333333,-1.8819444444444438
2018-01-11,2018-01-24,54,48,6,264.0,366.0,-102.0,4.888888888888889,7.625,-2.7361111111111107
2018-01-19,2018-01-20,52,55,-3,247.0,400.0,-153.0,4.75,7.2727272727272725,-2.5227272727272725
2018-01-19,2018-01-21,52,54,-2,247.0,407.0,-160.0,4.75,7.537037037037037,-2.787037037037037
2018-01-19,2018-01-22,52,52,0,247.0,261.0,-14.0,4.75,5.019230769230769,-0.26923076923076916
2018-01-19,2018-01-23,52,48,4,247.0,325.0,-78.0,4.75,6.770833333333333,-2.020833333333333
2018-01-19,2018-01-24,52,48,4,247.0,366.0,-119.0,4.75,7.625,-2.875
2018-01-20,2018-01-21,55,54,1,400.0,407.0,-7.0,7.2727272727272725,7.537037037037037,-0.2643097643097647
2018-01-20,2018-01-22,55,52,3,400.0,261.0,139.0,7.2727272727272725,5.019230769230769,2.2534965034965033
2018-01-20,2018-01-23,55,48,7,400.0,325.0,75.0,7.2727272727272725,6.770833333333333,0.5018939393939394
2018-01-20,2018-01-24,55,48,7,400.0,366.0,34.0,7.2727272727272725,7.625,-0.3522727272727275
2018-01-21,2018-01-22,54,52,2,407.0,261.0,146.0,7.537037037037037,5.019230769230769,2.517806267806268
2018-01-21,2018-01-23,54,48,6,407.0,325.0,82.0,7.537037037037037,6.770833333333333,0.7662037037037042
2018-01-21,2018-01-24,54,48,6,407.0,366.0,41.0,7.537037037037037,7.625,-0.0879629629629628
2018-01-22,2018-01-23,52,48,4,261.0,325.0,-64.0,5.019230769230769,6.770833333333333,-1.7516025641025639
2018-01-22,2018-01-24,52,48,4,261.0,366.0,-105.0,5.019230769230769,7.625,-2.605769230769231
2018-01-23,2018-01-24,48,48,0,325.0,366.0,-41.0,6.770833333333333,7.625,-0.854166666666667
