evaluation_id,evaluation_type,method,forecast_horizon,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_08,rolling_7d,hybrid_core_near_globalcv,3,144,119.0,0.8263888888888888,0.5347222222222222,-0.1597222222222222
fold_08,rolling_7d,hybrid_core_near_globalcv,4,144,149.0,1.0347222222222223,0.6041666666666666,-0.13194444444444445
fold_08,rolling_7d,hybrid_core_near_globalcv,5,144,102.0,0.7083333333333334,0.5138888888888888,0.125
fold_08,rolling_7d,hybrid_core_near_globalcv,6,144,97.0,0.6736111111111112,0.4791666666666667,-0.11805555555555555
fold_08,rolling_7d,hybrid_core_near_globalcv,7,138,190.0,1.3768115942028984,0.5362318840579711,-0.13043478260869565
fold_08,rolling_7d,hybrid_core_near_bypaircv,1,144,136.0,0.9444444444444444,0.5972222222222222,-0.1388888888888889
fold_08,rolling_7d,hybrid_core_near_bypaircv,2,144,107.0,0.7430555555555556,0.5069444444444444,0.0625
fold_08,rolling_7d,hybrid_core_near_bypaircv,3,144,123.0,0.8541666666666666,0.5486111111111112,-0.1597222222222222
fold_08,rolling_7d,hybrid_core_near_bypaircv,4,144,145.0,1.0069444444444444,0.5902777777777778,-0.13194444444444445
fold_08,rolling_7d,hybrid_core_near_bypaircv,5,144,100.0,0.6944444444444444,0.5138888888888888,0.125
fold_08,rolling_7d,hybrid_core_near_bypaircv,6,144,95.0,0.6597222222222222,0.4791666666666667,-0.11805555555555555
fold_08,rolling_7d,hybrid_core_near_bypaircv,7,138,188.0,1.3623188405797102,0.5362318840579711,-0.13043478260869565
final_analog,final_analog,circular3_all,1,144,106.0,0.7361111111111112,0.5138888888888888,0.06944444444444445
final_analog,final_analog,circular3_all,2,144,118.0,0.8194444444444444,0.5416666666666666,-0.1527777777777778
final_analog,final_analog,circular3_all,3,144,156.0,1.0833333333333333,0.625,-0.125
final_analog,final_analog,circular3_all,4,144,97.0,0.6736111111111112,0.5069444444444444,0.13194444444444445
final_analog,final_analog,circular3_all,5,144,106.0,0.7361111111111112,0.5138888888888888,-0.1111111111111111
final_analog,final_analog,circular3_all,6,138,183.0,1.326086956521739,0.5434782608695652,-0.12318840579710146
final_analog,final_analog,hybrid_core_near_default,1,144,109.0,0.7569444444444444,0.5069444444444444,0.04861111111111111
final_analog,final_analog,hybrid_core_near_default,2,144,121.0,0.8402777777777778,0.5347222222222222,-0.1736111111111111
final_analog,final_analog,hybrid_core_near_default,3,144,149.0,1.0347222222222223,0.6041666666666666,-0.14583333333333334
final_analog,final_analog,hybrid_core_near_default,4,144,102.0,0.7083333333333334,0.5138888888888888,0.1111111111111111
final_analog,final_analog,hybrid_core_near_default,5,144,89.0,0.6180555555555556,0.4652777777777778,-0.13194444444444445
final_analog,final_analog,hybrid_core_near_default,6,138,176.0,1.2753623188405796,0.5362318840579711,-0.14492753623188406
final_analog,final_analog,hybrid_core_near_globalcv,1,144,111.0,0.7708333333333334,0.5208333333333334,0.0625
final_analog,final_analog,hybrid_core_near_globalcv,2,144,121.0,0.8402777777777778,0.5347222222222222,-0.1597222222222222
