group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_post_recovery,near,outer,near->outer,5,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.020833333333333332,0.0,0.008333333333333333,0.0
normal_post_recovery,near,outer,near->outer,6,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.020833333333333332,0.0,0.015151515151515152,0.0
normal_post_recovery,near,outer,near->outer,7,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.023809523809523808,0.0,0.006172839506172839,0.0
normal_post_recovery,near,outer,near->outer,8,6,2,0.8333333333333334,0.0,1.3291601358251257,0.6666666666666666,0.1130952380952381,0.0,0.03373015873015873,0.0
normal_post_recovery,near,outer,near->outer,9,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.044642857142857144,0.0,0.015182186234817813,0.0
normal_post_recovery,near,outer,near->outer,10,6,2,0.6666666666666666,0.0,1.2110601416389968,0.6666666666666666,0.09226190476190477,0.0,0.028002699055330635,0.0
normal_post_recovery,near,outer,near->outer,11,6,2,0.6666666666666666,0.0,1.0327955589886446,0.6666666666666666,0.08928571428571429,0.0,0.02628968253968254,0.0
normal_post_recovery,near,outer,near->outer,12,6,4,0.6666666666666666,1.0,0.5163977794943223,0.3333333333333333,0.08062770562770562,0.10795454545454546,0.029080459770114947,0.037241379310344824
normal_post_recovery,near,outer,near->outer,13,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,near,outer,near->outer,14,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.020833333333333332,0.0,0.007246376811594203,0.0
normal_post_recovery,near,outer,near->outer,15,6,1,0.3333333333333333,0.0,0.816496580927726,0.8333333333333334,0.030303030303030304,0.0,0.012345679012345678,0.0
normal_post_recovery,near,outer,near->outer,16,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,near,outer,near->outer,17,6,2,0.6666666666666666,0.0,1.2110601416389968,0.6666666666666666,0.06926406926406926,0.0,0.02389486260454002,0.0
normal_post_recovery,near,outer,near->outer,18,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,near,outer,near->outer,19,6,5,1.0,1.0,0.6324555320336759,0.16666666666666666,0.15701659451659453,0.13392857142857142,0.041789445122778456,0.039230769230769236
