evaluation_id,evaluation_type,predictor_method,rounding_method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total_scored,predicted_total_scored,constraint_adjustment_count,max_constraint_adjustment,core_to_near_sse,core_to_outer_sse,near_to_core_sse,near_to_outer_sse,outer_to_core_sse,outer_to_near_sse
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,1008,1008,960.5994528039533,1047.0,1.0386904761904763,0.558531746031746,-0.17956349206349206,559.0,378.0,0,0.0,401.0,57.0,294.0,140.0,51.0,104.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,1008,1008,975.3518321137852,1044.0,1.0357142857142858,0.5634920634920635,-0.15873015873015872,559.0,399.0,0,0.0,401.0,50.0,294.0,140.0,51.0,108.0
fold_01,rolling_7d,pair_hour_mean,independent,1008,1008,937.9138271604938,977.0,0.9692460317460317,0.5625,-0.054563492063492064,559.0,504.0,0,0.0,351.0,52.0,295.0,124.0,52.0,103.0
fold_01,rolling_7d,pair_hour_mean,paired,1008,1008,937.9138271604938,1031.0,1.0228174603174602,0.5843253968253969,-0.012896825396825396,559.0,546.0,0,0.0,342.0,53.0,336.0,127.0,51.0,122.0
fold_01,rolling_7d,pair_recent14_fixed085,independent,1008,1008,930.6479067901234,1009.0,1.0009920634920635,0.5565476190476191,-0.11011904761904762,559.0,448.0,0,0.0,357.0,52.0,321.0,124.0,52.0,103.0
fold_01,rolling_7d,pair_recent14_fixed085,paired,1008,1008,930.6479067901234,1001.0,0.9930555555555556,0.5545634920634921,-0.09623015873015874,559.0,462.0,0,0.0,324.0,45.0,320.0,150.0,51.0,111.0
fold_01,rolling_7d,pair_recent14_hour,independent,1008,1008,937.9138271604938,977.0,0.9692460317460317,0.5625,-0.054563492063492064,559.0,504.0,0,0.0,351.0,52.0,295.0,124.0,52.0,103.0
fold_01,rolling_7d,pair_recent14_hour,paired,1008,1008,937.9138271604938,1031.0,1.0228174603174602,0.5843253968253969,-0.012896825396825396,559.0,546.0,0,0.0,342.0,53.0,336.0,127.0,51.0,122.0
fold_01,rolling_7d,present_shrunk20,independent,1008,1008,923.9067263793899,1000.0,0.9920634920634921,0.5714285714285714,-0.047619047619047616,559.0,511.0,0,0.0,353.0,52.0,316.0,124.0,52.0,103.0
fold_01,rolling_7d,present_shrunk20,paired,1008,1008,923.9067263793899,1034.0,1.0257936507936507,0.5932539682539683,-0.005952380952380952,559.0,553.0,0,0.0,345.0,50.0,336.0,130.0,56.0,117.0
fold_01,rolling_7d,present_shrunk20_direction_scale_cv,independent,1008,1008,948.4714151468349,1040.0,1.0317460317460319,0.5496031746031746,-0.17261904761904762,559.0,385.0,0,0.0,372.0,52.0,316.0,144.0,52.0,104.0
fold_01,rolling_7d,present_shrunk20_direction_scale_cv,paired,1008,1008,941.2256506005804,1051.0,1.0426587301587302,0.5843253968253969,-0.08234126984126984,559.0,476.0,0,0.0,350.0,52.0,326.0,150.0,56.0,117.0
fold_01,rolling_7d,present_shrunk20_scale_cv,independent,1008,1008,921.4837470473675,1007.0,0.9990079365079365,0.5525793650793651,-0.12400793650793651,559.0,434.0,0,0.0,360.0,50.0,314.0,124.0,51.0,108.0
fold_01,rolling_7d,present_shrunk20_scale_cv,paired,1008,1008,923.9067263793899,1034.0,1.0257936507936507,0.5932539682539683,-0.005952380952380952,559.0,553.0,0,0.0,345.0,50.0,336.0,130.0,56.0,117.0
fold_02,rolling_7d,pair_hour_circular_cv,independent,1008,1008,903.3389772727273,967.0,0.9593253968253969,0.5565476190476191,-0.08432539682539683,561.0,476.0,0,0.0,373.0,45.0,295.0,114.0,50.0,90.0
fold_02,rolling_7d,pair_hour_circular_cv,paired,1008,1008,903.3389772727273,986.0,0.9781746031746031,0.6031746031746031,0.005952380952380952,561.0,567.0,0,0.0,349.0,48.0,280.0,155.0,50.0,104.0
fold_02,rolling_7d,pair_hour_circular_scale_cv,independent,1008,1008,979.3771429037853,1059.0,1.0505952380952381,0.5505952380952381,-0.22321428571428573,561.0,336.0,0,0.0,413.0,53.0,300.0,137.0,50.0,106.0
fold_02,rolling_7d,pair_hour_circular_scale_cv,paired,1008,1008,1005.7944066013672,1051.0,1.0426587301587302,0.560515873015873,-0.19543650793650794,561.0,364.0,0,0.0,413.0,46.0,296.0,137.0,50.0,109.0
fold_02,rolling_7d,pair_hour_direction_scale_cv,independent,1008,1008,941.8864261206875,1022.0,1.0138888888888888,0.5396825396825397,-0.16071428571428573,561.0,399.0,0,0.0,400.0,45.0,297.0,130.0,50.0,100.0
fold_02,rolling_7d,pair_hour_direction_scale_cv,paired,1008,1008,931.2626773308339,1015.0,1.0069444444444444,0.5625,-0.1259920634920635,561.0,434.0,0,0.0,380.0,57.0,297.0,131.0,50.0,100.0
fold_02,rolling_7d,pair_hour_fixed085,independent,1008,1008,913.1858737603305,1014.0,1.005952380952381,0.5416666666666666,-0.14682539682539683,561.0,413.0,0,0.0,390.0,45.0,309.0,130.0,50.0,90.0
