date,hour,hour_of_day,dayofweek,day_type,audit_quality_regime,period,pair,y_ab,y_ba,X,r,F,T_daily,p
2018-01-09,2018-01-09 16:00:00,16,1,weekday,normal,pre_outage,core_near,0,3,3,0.0,-3,51,0.058823529411764705
2018-01-09,2018-01-09 17:00:00,17,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 18:00:00,18,1,weekday,normal,pre_outage,core_near,3,0,3,1.0,3,51,0.058823529411764705
2018-01-09,2018-01-09 19:00:00,19,1,weekday,normal,pre_outage,core_near,0,3,3,0.0,-3,51,0.058823529411764705
2018-01-09,2018-01-09 20:00:00,20,1,weekday,normal,pre_outage,core_near,1,2,3,0.3333333333333333,-1,51,0.058823529411764705
2018-01-09,2018-01-09 21:00:00,21,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 22:00:00,22,1,weekday,normal,pre_outage,core_near,0,0,0,,0,51,0.0
2018-01-09,2018-01-09 23:00:00,23,1,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,51,0.0196078431372549
2018-01-10,2018-01-10 00:00:00,0,2,weekday,normal,pre_outage,core_near,0,0,0,,0,64,0.0
2018-01-10,2018-01-10 01:00:00,1,2,weekday,normal,pre_outage,core_near,0,0,0,,0,64,0.0
