date,hour,region,raw_region_vessel_count,active_region_vessel_count,active_vessels_ge2,active_vessels_ge3,active_vessels_ge4,a_label,active_ais_record_count,median_active_records_per_vessel,china_coastal_active_record_count,e_globe_daily_active_record_count,f_globe_dynamic_active_record_count,active_source_count,ge3_rate_among_active
2018-01-03,1,outer,5,2,2,2,2,2,256,128.0,239,17,0,2,1.0
2018-01-03,2,core,18,6,6,6,6,6,449,81.5,431,18,0,2,1.0
2018-01-03,2,near,24,2,2,2,2,2,118,59.0,114,4,0,2,1.0
2018-01-03,2,outer,3,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-03,3,core,18,11,11,11,11,11,1007,81.0,975,32,0,2,1.0
2018-01-03,3,near,27,3,3,3,3,3,450,133.0,432,18,0,2,1.0
2018-01-03,3,outer,5,2,2,2,2,2,69,34.5,66,3,0,2,1.0
2018-01-03,4,core,16,5,5,5,5,5,215,41.0,204,11,0,2,1.0
2018-01-03,4,near,23,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-03,4,outer,6,3,3,3,3,3,622,189.0,591,31,0,2,1.0
2018-01-03,5,core,19,5,5,5,5,5,488,91.0,467,21,0,2,1.0
2018-01-03,5,near,24,1,1,1,1,1,150,150.0,143,7,0,2,1.0
2018-01-03,5,outer,6,3,2,2,2,2,245,111.0,230,15,0,2,0.6666666666666666
2018-01-03,6,core,19,15,15,15,15,15,1117,48.0,1071,46,0,2,1.0
2018-01-03,6,near,26,3,3,3,3,3,299,92.0,285,14,0,2,1.0
2018-01-03,6,outer,4,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-03,7,core,16,12,12,12,12,12,1068,60.5,1017,51,0,2,1.0
2018-01-03,7,near,33,6,6,6,6,6,280,47.5,269,11,0,2,1.0
2018-01-03,7,outer,4,2,1,1,1,1,40,20.0,38,2,0,2,0.5
2018-01-03,8,core,14,6,6,6,5,6,412,60.0,394,18,0,2,1.0
2018-01-03,8,near,31,7,7,7,7,7,284,33.0,270,14,0,2,1.0
2018-01-03,8,outer,5,2,2,2,2,2,373,186.5,357,16,0,2,1.0
2018-01-03,9,core,16,5,5,5,5,5,630,106.0,602,28,0,2,1.0
2018-01-03,9,near,30,5,5,5,5,5,421,99.0,400,21,0,2,1.0
2018-01-03,9,outer,6,3,1,1,1,1,107,1.0,99,8,0,2,0.3333333333333333
2018-01-03,10,core,16,12,12,12,12,12,926,80.5,890,36,0,2,1.0
2018-01-03,10,near,34,8,8,7,7,7,612,80.5,584,28,0,2,0.875
2018-01-03,10,outer,7,3,2,2,2,2,39,4.0,31,8,0,2,0.6666666666666666
2018-01-03,11,core,14,11,11,9,9,9,813,85.0,772,41,0,2,0.8181818181818182
2018-01-03,11,near,33,9,9,9,9,9,283,21.0,265,18,0,2,1.0
2018-01-03,11,outer,8,4,3,3,3,3,314,72.0,305,9,0,2,0.75
2018-01-03,12,core,9,6,5,5,5,5,372,54.0,356,16,0,2,0.8333333333333334
2018-01-03,12,near,30,5,3,3,3,3,270,72.0,258,12,0,2,0.6
2018-01-03,12,outer,9,5,5,5,4,5,569,96.0,537,32,0,2,1.0
2018-01-03,13,core,12,5,5,4,4,4,251,54.0,240,11,0,2,0.8
2018-01-03,13,near,32,6,6,5,5,5,340,54.0,321,19,0,2,0.8333333333333334
2018-01-03,13,outer,8,6,5,4,4,4,490,45.5,471,19,0,2,0.6666666666666666
2018-01-03,14,core,13,6,6,6,6,6,476,33.5,459,17,0,2,1.0
2018-01-03,14,near,34,10,10,10,9,10,822,87.5,775,47,0,2,1.0
2018-01-03,14,outer,7,4,4,4,4,4,365,76.0,343,22,0,2,1.0
2018-01-03,15,core,14,9,9,9,9,9,534,47.0,513,21,0,2,1.0
2018-01-03,15,near,37,11,11,11,10,11,676,71.0,646,30,0,2,1.0
2018-01-03,15,outer,4,2,1,1,1,1,12,6.0,10,2,0,2,0.5
2018-01-03,16,core,13,11,11,11,11,11,887,74.0,853,34,0,2,1.0
2018-01-03,16,near,34,3,3,3,3,3,154,49.0,145,9,0,2,1.0
2018-01-03,16,outer,4,1,1,1,1,1,117,117.0,113,4,0,2,1.0
2018-01-03,17,core,14,8,8,8,7,8,488,42.5,464,24,0,2,1.0
2018-01-03,17,near,30,4,4,3,3,3,143,23.5,134,9,0,2,0.75
2018-01-03,17,outer,5,1,1,1,1,1,83,83.0,80,3,0,2,1.0
2018-01-03,18,core,14,9,8,8,8,8,760,67.0,728,32,0,2,0.8888888888888888
2018-01-03,18,near,34,6,6,6,6,6,396,69.5,382,14,0,2,1.0
2018-01-03,18,outer,5,1,1,1,1,1,170,170.0,164,6,0,2,1.0
2018-01-03,19,core,16,15,15,15,15,15,908,51.0,872,36,0,2,1.0
2018-01-03,19,near,35,13,13,13,13,13,1187,95.0,1135,52,0,2,1.0
2018-01-03,19,outer,5,2,1,1,1,1,48,24.0,43,5,0,2,0.5
2018-01-03,20,core,15,7,7,7,7,7,257,36.0,244,13,0,2,1.0
2018-01-03,20,near,30,5,5,5,5,5,206,26.0,193,13,0,2,1.0
2018-01-03,20,outer,7,3,3,3,3,3,268,91.0,256,12,0,2,1.0
2018-01-03,21,core,13,3,3,3,3,3,216,58.0,206,10,0,2,1.0
2018-01-03,21,near,27,3,3,3,3,3,162,55.0,155,7,0,2,1.0
2018-01-03,21,outer,7,3,3,3,3,3,506,169.0,484,22,0,2,1.0
2018-01-03,22,core,16,14,14,14,14,14,1278,74.5,1218,60,0,2,1.0
2018-01-03,22,near,30,7,7,7,7,7,359,60.0,343,16,0,2,1.0
2018-01-03,22,outer,4,1,1,1,1,1,28,28.0,27,1,0,2,1.0
2018-01-03,23,core,15,12,12,11,11,11,715,34.5,688,27,0,2,0.9166666666666666
2018-01-03,23,near,34,9,9,9,9,9,639,59.0,601,38,0,2,1.0
2018-01-03,23,outer,6,3,3,3,3,3,274,62.0,262,12,0,2,1.0
2018-01-04,0,core,12,5,5,5,5,5,306,71.0,292,14,0,2,1.0
2018-01-04,0,near,26,4,3,3,3,3,143,38.5,127,16,0,2,0.75
2018-01-04,0,outer,7,4,4,4,4,4,728,166.0,686,42,0,2,1.0
2018-01-04,1,core,13,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-04,1,near,26,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-04,1,outer,6,3,3,2,2,2,205,31.0,187,18,0,2,0.6666666666666666
2018-01-04,2,core,14,2,1,1,1,1,8,4.0,6,2,0,2,0.5
2018-01-04,2,near,25,1,1,0,0,0,2,2.0,0,2,0,1,0.0
2018-01-04,2,outer,5,2,2,2,2,2,239,119.5,226,13,0,2,1.0
2018-01-04,3,core,14,7,7,7,6,7,204,28.0,190,14,0,2,1.0
2018-01-04,3,near,29,6,6,6,6,6,359,52.0,344,15,0,2,1.0
2018-01-04,3,outer,7,4,4,4,4,4,421,109.5,396,25,0,2,1.0
2018-01-04,4,core,12,9,9,9,9,9,1177,138.0,1117,60,0,2,1.0
2018-01-04,4,near,31,7,7,7,7,7,825,83.0,780,45,0,2,1.0
2018-01-04,4,outer,7,3,3,3,3,3,571,266.0,545,26,0,2,1.0
2018-01-04,5,core,16,10,10,9,9,9,325,29.0,306,19,0,2,0.9
2018-01-04,5,near,30,7,7,7,7,7,207,22.0,194,13,0,2,1.0
2018-01-04,5,outer,6,3,3,3,3,3,340,117.0,324,16,0,2,1.0
2018-01-04,6,core,18,12,12,12,11,12,630,44.0,596,34,0,2,1.0
2018-01-04,6,near,32,7,7,6,6,6,364,44.0,347,17,0,2,0.8571428571428571
2018-01-04,6,outer,4,2,2,2,2,2,43,21.5,32,11,0,2,1.0
2018-01-04,7,core,13,11,11,11,11,11,856,72.0,816,40,0,2,1.0
2018-01-04,7,near,35,7,7,7,7,7,713,95.0,677,36,0,2,1.0
2018-01-04,7,outer,7,4,4,4,4,4,409,67.0,384,25,0,2,1.0
2018-01-04,8,core,12,9,9,9,9,9,540,40.0,506,34,0,2,1.0
2018-01-04,8,near,34,7,7,7,6,7,123,13.0,113,10,0,2,1.0
2018-01-04,8,outer,4,1,1,1,1,1,16,16.0,15,1,0,2,1.0
2018-01-04,9,core,11,8,7,7,7,7,287,25.5,264,23,0,2,0.875
2018-01-04,9,near,30,5,5,5,5,5,89,18.0,83,6,0,2,1.0
2018-01-04,9,outer,10,6,6,4,3,4,205,14.5,187,18,0,2,0.6666666666666666
2018-01-04,10,core,12,9,9,9,9,9,368,45.0,338,30,0,2,1.0
2018-01-04,10,near,32,7,6,6,6,6,492,70.0,456,36,0,2,0.8571428571428571
2018-01-04,10,outer,8,5,4,4,3,4,287,36.0,262,25,0,2,0.8
2018-01-04,11,core,15,12,12,12,12,12,377,13.5,348,29,0,2,1.0
2018-01-04,11,near,32,10,9,9,9,9,405,35.0,369,36,0,2,0.9
2018-01-04,11,outer,5,2,2,2,2,2,112,56.0,102,10,0,2,1.0
