date,hour,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,y_true,daily_total,profile_share
2018-01-02,8,near,normal,pre_outage,weekday,1,53,6,117,0.05128205128205128
2018-01-02,9,near,normal,pre_outage,weekday,1,53,1,117,0.008547008547008548
2018-01-02,10,near,normal,pre_outage,weekday,1,53,8,117,0.06837606837606838
2018-01-02,11,near,normal,pre_outage,weekday,1,53,8,117,0.06837606837606838
2018-01-02,12,near,normal,pre_outage,weekday,1,53,4,117,0.03418803418803419
2018-01-02,13,near,normal,pre_outage,weekday,1,53,7,117,0.05982905982905983
2018-01-02,14,near,normal,pre_outage,weekday,1,53,9,117,0.07692307692307693
2018-01-02,15,near,normal,pre_outage,weekday,1,53,8,117,0.06837606837606838
2018-01-02,16,near,normal,pre_outage,weekday,1,53,6,117,0.05128205128205128
2018-01-02,17,near,normal,pre_outage,weekday,1,53,3,117,0.02564102564102564
2018-01-02,18,near,normal,pre_outage,weekday,1,53,4,117,0.03418803418803419
2018-01-02,19,near,normal,pre_outage,weekday,1,53,7,117,0.05982905982905983
2018-01-02,20,near,normal,pre_outage,weekday,1,53,3,117,0.02564102564102564
2018-01-02,21,near,normal,pre_outage,weekday,1,53,4,117,0.03418803418803419
2018-01-02,22,near,normal,pre_outage,weekday,1,53,4,117,0.03418803418803419
2018-01-02,23,near,normal,pre_outage,weekday,1,53,3,117,0.02564102564102564
2018-01-02,0,outer,normal,pre_outage,weekday,1,53,3,72,0.041666666666666664
2018-01-02,1,outer,normal,pre_outage,weekday,1,53,3,72,0.041666666666666664
2018-01-02,2,outer,normal,pre_outage,weekday,1,53,1,72,0.013888888888888888
2018-01-02,3,outer,normal,pre_outage,weekday,1,53,0,72,0.0
2018-01-02,4,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,5,outer,normal,pre_outage,weekday,1,53,3,72,0.041666666666666664
2018-01-02,6,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,7,outer,normal,pre_outage,weekday,1,53,4,72,0.05555555555555555
2018-01-02,8,outer,normal,pre_outage,weekday,1,53,5,72,0.06944444444444445
2018-01-02,9,outer,normal,pre_outage,weekday,1,53,8,72,0.1111111111111111
2018-01-02,10,outer,normal,pre_outage,weekday,1,53,7,72,0.09722222222222222
2018-01-02,11,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,12,outer,normal,pre_outage,weekday,1,53,6,72,0.08333333333333333
2018-01-02,13,outer,normal,pre_outage,weekday,1,53,5,72,0.06944444444444445
2018-01-02,14,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,15,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,16,outer,normal,pre_outage,weekday,1,53,5,72,0.06944444444444445
2018-01-02,17,outer,normal,pre_outage,weekday,1,53,4,72,0.05555555555555555
2018-01-02,18,outer,normal,pre_outage,weekday,1,53,3,72,0.041666666666666664
2018-01-02,19,outer,normal,pre_outage,weekday,1,53,1,72,0.013888888888888888
2018-01-02,20,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,21,outer,normal,pre_outage,weekday,1,53,2,72,0.027777777777777776
2018-01-02,22,outer,normal,pre_outage,weekday,1,53,0,72,0.0
2018-01-02,23,outer,normal,pre_outage,weekday,1,53,0,72,0.0
2018-01-03,0,core,normal,pre_outage,weekday,2,58,1,192,0.005208333333333333
2018-01-03,1,core,normal,pre_outage,weekday,2,58,4,192,0.020833333333333332
2018-01-03,2,core,normal,pre_outage,weekday,2,58,6,192,0.03125
2018-01-03,3,core,normal,pre_outage,weekday,2,58,11,192,0.057291666666666664
