group,region,hour,n_days,mean_profile_share,median_profile_share,std_profile_share,q25_profile_share,q75_profile_share,mean_hourly_count,median_hourly_count
normal_pre_outage,outer,10,11,0.06582724541851082,0.06666666666666667,0.02360309983056164,0.047619047619047616,0.08421985815602837,3.1818181818181817,3.0
normal_pre_outage,outer,11,11,0.0500426194435153,0.05263157894736842,0.018515516286162326,0.035165484633569735,0.06458333333333333,2.272727272727273,2.0
normal_pre_outage,outer,12,11,0.08311488343683192,0.08333333333333333,0.03982987248806443,0.043498817966903074,0.10471491228070176,3.909090909090909,4.0
normal_pre_outage,outer,13,11,0.0757019886919103,0.08333333333333333,0.036429555480468355,0.044444444444444446,0.09707602339181287,3.5454545454545454,4.0
normal_pre_outage,outer,14,11,0.052453526627658766,0.044444444444444446,0.03485863037242834,0.025,0.07738095238095238,2.4545454545454546,2.0
normal_pre_outage,outer,15,11,0.03822382358216624,0.022222222222222223,0.03453813390154732,0.02105496453900709,0.05803571428571429,1.8181818181818181,1.0
normal_pre_outage,outer,16,11,0.04363507899342165,0.03571428571428571,0.026515248746145186,0.02379619260918253,0.06458333333333333,2.090909090909091,2.0
normal_pre_outage,outer,17,11,0.0392880371463798,0.041666666666666664,0.022589860415801997,0.021749408983451537,0.054563492063492064,1.8181818181818181,2.0
normal_pre_outage,outer,18,11,0.032946001367053994,0.03571428571428571,0.022474854009921736,0.020833333333333332,0.048538011695906436,1.5454545454545454,1.0
normal_pre_outage,outer,19,11,0.019081270229086577,0.020833333333333332,0.018596442237907476,0.006944444444444444,0.021749408983451537,0.9090909090909091,1.0
normal_pre_outage,outer,20,11,0.04852082252698154,0.0425531914893617,0.025401814878396434,0.031746031746031744,0.05347222222222223,2.090909090909091,2.0
normal_pre_outage,outer,21,11,0.04956277702638285,0.044444444444444446,0.03631959820188337,0.024269005847953218,0.05803571428571429,2.090909090909091,2.0
normal_pre_outage,outer,22,11,0.019232740943267258,0.022222222222222223,0.013351740158383644,0.010416666666666666,0.02631578947368421,0.8181818181818182,1.0
normal_pre_outage,outer,23,11,0.018943615486168682,0.02127659574468085,0.021563743758821797,0.0,0.02896825396825397,0.8181818181818182,1.0
normal_post_recovery,core,0,6,0.039970838046422034,0.03843585013675975,0.017951291034969463,0.0252190847127556,0.0547847935328818,7.0,6.5
normal_post_recovery,core,1,6,0.01504319188853197,0.013116859291873052,0.013335543827588885,0.005506175483686728,0.022689419175095392,2.8333333333333335,2.0
normal_post_recovery,core,2,6,0.027189438910050157,0.022011973744319686,0.026439844154785043,0.010459908236836356,0.03446187390224699,5.166666666666667,4.5
normal_post_recovery,core,3,6,0.04091331649151573,0.039809209319390935,0.027924810767263834,0.026090597917121844,0.06438236577913575,7.666666666666667,6.5
normal_post_recovery,core,4,6,0.0349882192260215,0.036587266945189253,0.027218791652963,0.01561640066042928,0.05500408446171746,6.833333333333333,7.0
normal_post_recovery,core,5,6,0.011548499168085301,0.0024630541871921183,0.018087312790272887,0.0,0.015585594079241993,2.3333333333333335,0.5
normal_post_recovery,core,6,6,0.027288042838245753,0.016815754802024824,0.027084425028232675,0.009392419175027871,0.04911966436467344,4.833333333333333,3.0
normal_post_recovery,core,7,6,0.050730797706156856,0.051553618794998105,0.027625198592096122,0.03384637141442949,0.06092989289191821,8.166666666666666,8.5
normal_post_recovery,core,8,6,0.04369858640116129,0.043627878473613504,0.012802778170194418,0.03292913982569155,0.050005200748907845,7.5,7.5
normal_post_recovery,core,9,6,0.028017872117146455,0.02461995033613954,0.01337231877268071,0.017519322782480678,0.038937809576224544,4.833333333333333,4.5
normal_post_recovery,core,10,6,0.0371985259964674,0.03433435118174605,0.014277167059838664,0.031450128818549875,0.03727498250747408,6.666666666666667,6.5
normal_post_recovery,core,11,6,0.05967145325466903,0.05802563542349429,0.02457514948936994,0.045909007521555675,0.06805579622249178,10.0,10.0
normal_post_recovery,core,12,6,0.04228495960553469,0.044352195761415775,0.01047020223790335,0.03935057787561915,0.04825234547119836,7.166666666666667,6.5
normal_post_recovery,core,13,6,0.03532998962208953,0.025944942101813414,0.029778412069864764,0.012823945170272006,0.057776922891971824,6.0,4.5
normal_post_recovery,core,14,6,0.04688267965816786,0.043682999212646116,0.024905277405561695,0.04032220048553987,0.06383976846256599,8.166666666666666,8.5
normal_post_recovery,core,15,6,0.05954014782217948,0.07421899357735237,0.03302381545581311,0.033709411117226196,0.08000594103522539,10.166666666666666,11.5
normal_post_recovery,core,16,6,0.04323219465816774,0.04327023091325151,0.02473977438860308,0.0396117040853883,0.05889912186763761,7.833333333333333,7.5
normal_post_recovery,core,17,6,0.03612941653341447,0.027361246348588122,0.027116954891411464,0.017075763432547353,0.05097359336200109,6.0,4.0
normal_post_recovery,core,18,6,0.051798797353253885,0.05718914662951971,0.013485556863959604,0.04062241587685261,0.06050791313949209,8.666666666666666,8.5
normal_post_recovery,core,19,6,0.07930108253680343,0.07566312575535908,0.008519549731163385,0.0742629403173503,0.08244888023369036,13.5,14.0
normal_post_recovery,core,20,6,0.05405671389750808,0.05646279730947923,0.022254039444577177,0.042831913189134076,0.06747331615752669,9.0,8.5
normal_post_recovery,core,21,6,0.032205434134430985,0.024062131613619028,0.02319151852749445,0.01632315053367685,0.04493481902264948,5.5,4.0
normal_post_recovery,core,22,6,0.042799364320358114,0.03970591875634329,0.026602314620559644,0.025480272174268473,0.05269988632057598,7.0,6.5
normal_post_recovery,core,23,6,0.06018043781361829,0.06108970831040176,0.019722252950231924,0.04439126009795814,0.06654358227584772,10.0,9.0
normal_post_recovery,near,0,6,0.03507266442215389,0.0338281473023123,0.017681434035912564,0.024548032612548742,0.038454820680018625,4.0,3.5
normal_post_recovery,near,1,6,0.010315440936883061,0.003787878787878788,0.01375584671578732,0.0,0.01843805704099822,1.3333333333333333,0.5
normal_post_recovery,near,2,6,0.016377913673928855,0.015417457305502846,0.016829387820369426,0.003676470588235294,0.020515774548032613,2.0,2.0
normal_post_recovery,near,3,6,0.03220519286370405,0.033112904794320726,0.029417074692110086,0.005494505494505495,0.055179593961478396,4.0,3.5
normal_post_recovery,near,4,6,0.02100475863930718,0.017591279688053883,0.017426249479521448,0.009384420888845668,0.0344574780058651,2.6666666666666665,2.0
normal_post_recovery,near,5,6,0.010352577003430894,0.007352941176470588,0.012987370864190224,0.0,0.015040106951871659,1.3333333333333333,1.0
normal_post_recovery,near,6,6,0.031175483698597458,0.037435957149510944,0.01587003865414517,0.019878969286829775,0.04283545401966455,3.3333333333333335,3.5
normal_post_recovery,near,7,6,0.04583302111918671,0.05003987240829346,0.023381396789500908,0.026412538699690402,0.06460206460206461,5.0,4.5
normal_post_recovery,near,8,6,0.04270462568856073,0.042888563049853376,0.01986362392572788,0.03213946869070208,0.057823813354786806,4.833333333333333,5.5
normal_post_recovery,near,9,6,0.036753257621549205,0.03525235826120782,0.017060736258138327,0.026374010246856077,0.04727933356965615,4.166666666666667,3.5
normal_post_recovery,near,10,6,0.04765017706860347,0.038543643263757116,0.027108386737510797,0.029102680895366995,0.06121700879765395,5.166666666666667,5.0
normal_post_recovery,near,11,6,0.06140593248381884,0.05959177847559235,0.03181308001780518,0.04506380716058136,0.08677806241266883,6.666666666666667,6.5
normal_post_recovery,near,12,6,0.050327771763246355,0.04628551467163484,0.03385473005227121,0.02801358234295416,0.058728881737731296,5.333333333333333,4.5
normal_post_recovery,near,13,6,0.03719134317453847,0.04647707979626485,0.02328815585733124,0.016717813302883244,0.05436668594563331,4.0,4.5
normal_post_recovery,near,14,6,0.0494382951047694,0.04670996288895232,0.02500105054707976,0.03280791788856305,0.05739198334200937,5.333333333333333,5.5
normal_post_recovery,near,15,6,0.06629943884278736,0.06372549019607843,0.04104237270127713,0.04063467492260062,0.09946236559139784,7.833333333333333,8.5
normal_post_recovery,near,16,6,0.04663416831917471,0.042998667998668,0.03187953273471896,0.02151609452494408,0.06288992869875223,5.666666666666667,5.0
normal_post_recovery,near,17,6,0.03710378742101882,0.037435957149510944,0.02607725072165735,0.014897944618898087,0.05931897050318103,4.0,3.5
normal_post_recovery,near,18,6,0.06129439927073799,0.052703875072296125,0.033034961906086555,0.03827751196172249,0.0894923660410386,7.0,5.5
normal_post_recovery,near,19,6,0.0785852103424105,0.08270932607215793,0.024308515657196855,0.0688631221719457,0.09470453896660005,8.5,8.5
normal_post_recovery,near,20,6,0.06265466333948104,0.06918505942275043,0.025976434935319394,0.0494144013880856,0.073292220113852,7.0,7.0
normal_post_recovery,near,21,6,0.01861674587048636,0.01327433628318584,0.021532707154697843,0.0,0.03421069755335763,2.3333333333333335,1.5
normal_post_recovery,near,22,6,0.04693437187444977,0.05474095796676442,0.027901442878244812,0.03531639928698752,0.06345500848896435,5.0,6.0
normal_post_recovery,near,23,6,0.054068759457174875,0.04313294232649072,0.03099324217119231,0.03152852049910873,0.06978908188585609,5.5,5.5
normal_post_recovery,outer,0,6,0.029355301962173192,0.02025963808025177,0.031491515866696726,0.004032258064516129,0.05225140712945591,1.6666666666666667,1.0
normal_post_recovery,outer,1,6,0.039983920655308015,0.04445318646734854,0.036246543698269094,0.006097560975609756,0.07168458781362007,2.3333333333333335,2.5
normal_post_recovery,outer,2,6,0.015961021505376344,0.0,0.026871427801054615,0.0,0.0234375,0.8333333333333334,0.0
normal_post_recovery,outer,3,6,0.013148779983457403,0.007692307692307693,0.015598007094107033,0.0,0.027283653846153846,0.6666666666666666,0.5
normal_post_recovery,outer,4,6,0.02413170511288791,0.01695156695156695,0.025819170795965338,0.0038461538461538464,0.04091995221027479,1.1666666666666667,1.0
normal_post_recovery,outer,5,6,0.035699981797443665,0.03582145536384096,0.0255788177658351,0.01970284237726098,0.05825062034739455,1.8333333333333333,1.5
normal_post_recovery,outer,6,6,0.027928108892538262,0.027579737335834898,0.010997537925638174,0.019986449864498643,0.031129807692307693,1.3333333333333333,1.0
normal_post_recovery,outer,7,6,0.03239581262837077,0.023255813953488372,0.038661425963614,0.0,0.05329457364341085,1.8333333333333333,1.0
normal_post_recovery,outer,8,6,0.044690604185946774,0.05050872093023256,0.033241034049951906,0.019909274193548387,0.07299741602067183,2.3333333333333335,2.0
normal_post_recovery,outer,9,6,0.04968976146736287,0.05103359173126615,0.019463778681457357,0.03582145536384096,0.06076388888888889,2.5,2.0
normal_post_recovery,outer,10,6,0.03311594431293182,0.02145438121047877,0.02994844107348638,0.016726403823178016,0.029535060975609755,1.5,1.0
normal_post_recovery,outer,11,6,0.050003072077779015,0.031009615384615385,0.04994657341880861,0.025984990619136963,0.06336805555555555,2.3333333333333335,1.5
normal_post_recovery,outer,12,6,0.06266031793326346,0.07146908678389109,0.02518433026312113,0.04163540885221305,0.07598499061913697,3.1666666666666665,3.0
normal_post_recovery,outer,13,6,0.06202905729124936,0.06201923076923077,0.020823169052007325,0.05196998123827393,0.07118055555555555,3.0,3.0
normal_post_recovery,outer,14,6,0.05754566453700841,0.06201923076923077,0.013233077747949079,0.05026833631484794,0.06401209677419355,2.8333333333333335,2.5
normal_post_recovery,outer,15,6,0.05947352809121605,0.059841179807146906,0.048003364829800166,0.023166368515205725,0.09087332808811958,2.6666666666666665,2.5
normal_post_recovery,outer,16,6,0.07980359502746577,0.07362240289069558,0.03683371690757131,0.05317640385706182,0.08883101851851852,4.0,3.0
normal_post_recovery,outer,17,6,0.05719886727423292,0.05402504472271914,0.025854627874063358,0.03582145536384096,0.07094017094017094,2.8333333333333335,3.0
normal_post_recovery,outer,18,6,0.038581127458224784,0.034704830053667264,0.03852392734127673,0.005813953488372093,0.059925558312655086,2.0,2.0
normal_post_recovery,outer,19,6,0.023967033327281163,0.023317307692307693,0.022305084156682916,0.0038461538461538464,0.04410282258064516,1.1666666666666667,1.0
normal_post_recovery,outer,20,6,0.04310014415128346,0.047449362340585145,0.01583112505870003,0.03940568475452196,0.048682140047206925,2.0,2.0
normal_post_recovery,outer,21,6,0.05569351381257864,0.05103359173126615,0.03659170795757705,0.03582145536384096,0.06076388888888889,2.5,2.0
normal_post_recovery,outer,22,6,0.036536003116024646,0.03464755077658303,0.01712514502302556,0.025506376594148537,0.0458446251129178,1.6666666666666667,2.0
normal_post_recovery,outer,23,6,0.02730713339859529,0.026583034647550775,0.019684331326940866,0.015570719602977668,0.044142980189491816,1.3333333333333333,1.5
normal_weekday,core,0,13,0.03410148695521312,0.03164556962025317,0.018686381757603093,0.023076923076923078,0.04522613065326633,5.384615384615385,5.0
normal_weekday,core,1,13,0.015956915537088598,0.012195121951219513,0.019119004374899363,0.0,0.020833333333333332,2.6153846153846154,2.0
normal_weekday,core,2,13,0.02230388832997688,0.020100502512562814,0.017951842928203024,0.00625,0.036585365853658534,3.769230769230769,4.0
normal_weekday,core,3,13,0.04615713168328081,0.05063291139240506,0.019916515569804352,0.03424657534246575,0.057291666666666664,7.6923076923076925,8.0
