fold_id,training_policy,method,component_type,component,n_rows,sse_float,sse_rounded,mae_rounded,mean_bias_rounded
fold_02,all,hour_scale_p025,validation_quality,outage,288,3726.8349548352144,3721.0,2.7881944444444446,2.3993055555555554
fold_02,all,hour_scale_p05,region,core,168,3747.335257391699,3801.0,4.101190476190476,3.505952380952381
fold_02,all,hour_scale_p05,region,near,168,1484.2336155814448,1441.0,2.4345238095238093,2.1488095238095237
fold_02,all,hour_scale_p05,region,outer,168,332.6729948135253,356.0,1.1904761904761905,0.6428571428571429
fold_02,all,hour_scale_p05,validation_quality,reduced,72,662.6784966785121,656.0,2.361111111111111,1.2222222222222223
fold_02,all,hour_scale_p05,validation_quality,severe,144,1317.2023670190315,1329.0,2.3680555555555554,2.048611111111111
fold_02,all,hour_scale_p05,validation_quality,outage,288,3584.3610040891263,3613.0,2.732638888888889,2.34375
fold_02,exclude_outage_severe,global_mean,region,core,168,4240.165289256198,4298.0,4.535714285714286,3.8095238095238093
fold_02,exclude_outage_severe,global_mean,region,near,168,1676.2572314049585,1384.0,2.5238095238095237,1.9880952380952381
fold_02,exclude_outage_severe,global_mean,region,outer,168,401.05371900826447,418.0,1.380952380952381,0.7738095238095238
fold_02,exclude_outage_severe,global_mean,validation_quality,reduced,72,655.4121900826447,631.0,2.263888888888889,1.125
fold_02,exclude_outage_severe,global_mean,validation_quality,severe,144,1709.2789256198344,1643.0,2.7847222222222223,2.3125
fold_02,exclude_outage_severe,global_mean,validation_quality,outage,288,3952.7851239669417,3826.0,2.9652777777777777,2.3958333333333335
fold_02,exclude_outage_severe,hour_mean,region,core,168,4148.347107438016,4153.0,4.279761904761905,3.767857142857143
fold_02,exclude_outage_severe,hour_mean,region,near,168,1649.297520661157,1606.0,2.5833333333333335,2.3214285714285716
fold_02,exclude_outage_severe,hour_mean,region,outer,168,358.3801652892562,399.0,1.255952380952381,0.7321428571428571
fold_02,exclude_outage_severe,hour_mean,validation_quality,reduced,72,647.2892561983472,653.0,2.3472222222222223,1.2083333333333333
fold_02,exclude_outage_severe,hour_mean,validation_quality,severe,144,1627.5785123966944,1641.0,2.6180555555555554,2.3958333333333335
fold_02,exclude_outage_severe,hour_mean,validation_quality,outage,288,3881.1570247933882,3864.0,2.8402777777777777,2.4791666666666665
